gameID,optimisationTechnique,objectiveFunction,score,computationTime
1,Greedy,ttc,3.0,29
1,Greedy,ttv,39.0,199
1,Greedy,ttc,1.0,18
1,Greedy,ttv,0.0,25
1,Greedy,ttc,0.0,13
1,Greedy,ttv,7.0,126
1,Greedy,ttc,3.0,14366
1,Greedy,ttv,0.0,15
1,Greedy,ttc,0.0,12
1,Greedy,ttv,0.0,13
1,Greedy,ttc,1.0,502
1,Greedy,ttv,0.0,430
1,Greedy,ttc,0.0,299
1,Greedy,ttv,0.0,594
1,Greedy,ttc,1.0,2796
1,Greedy,ttv,12.0,3000
1,Greedy,ttc,0.0,1531
1,Greedy,ttv,0.0,2080
1,Greedy,ttc,3.0,2865
1,Greedy,ttv,0.0,2897
1,Greedy,ttc,0.0,1276
1,Greedy,ttv,0.0,2817
1,Greedy,ttc,0.0,1279
1,Greedy,ttv,14.0,3385
1,Greedy,ttc,0.0,18
1,Greedy,ttv,9.0,469
1,Greedy,ttc,2.0,1165
1,Greedy,ttv,0.0,13
1,Greedy,ttc,0.0,11
1,Greedy,ttv,33.0,37
1,Greedy,ttc,1.0,117
1,Greedy,ttv,1.0,595
1,Greedy,ttc,0.0,613
1,Greedy,ttv,0.0,602
1,Greedy,ttc,0.0,655
1,Greedy,ttv,0.0,678
1,Greedy,ttc,3.0,1266
1,Greedy,ttv,0.0,1238
1,Greedy,ttc,0.0,644
1,Greedy,ttv,14.0,2581
1,Greedy,ttc,0.0,1560
1,Greedy,ttv,0.0,1147
1,Greedy,ttc,0.0,1574
1,Greedy,ttv,0.0,1418
1,Greedy,ttc,1.0,16205
1,Greedy,ttv,74.0,60055
1,Greedy,ttc,2.0,4530
1,Greedy,ttv,0.0,5758
1,Greedy,ttc,0.0,4129
1,Greedy,ttv,0.0,5866
1,Greedy,ttc,4.0,60024
1,Greedy,ttv,33.0,60136
1,Greedy,ttc,3.0,25471
2,Greedy,ttc,0.0,1
2,Greedy,ttv,0.0,1
2,Greedy,ttc,4.0,18
2,Greedy,ttv,0.0,9
2,Greedy,ttc,0.0,5
2,Greedy,ttv,27.0,102
2,Greedy,ttc,2.0,458
2,Greedy,ttv,30.0,1455
2,Greedy,ttc,0.0,536
2,Greedy,ttv,0.0,1132
2,Greedy,ttc,0.0,441
2,Greedy,ttv,47.0,40770
2,Greedy,ttc,4.0,60029
2,Greedy,ttv,34.0,60023
2,Greedy,ttc,0.0,8438
2,Greedy,ttv,0.0,4768
2,Greedy,ttc,4.0,60030
2,Greedy,ttv,29.0,60004
2,Greedy,ttc,1.0,18466
2,Greedy,ttv,0.0,18927
2,Greedy,ttc,0.0,19176
2,Greedy,ttv,21.0,47794
2,Greedy,ttc,0.0,46901
2,Greedy,ttv,0.0,48783
2,Greedy,ttc,0.0,60001
2,Greedy,ttv,19.0,60002
2,Greedy,ttc,0.0,60002
2,Greedy,ttv,0.0,60001
2,Greedy,ttc,0.0,60002
2,Greedy,ttv,0.0,60002
2,Greedy,ttc,0.0,60002
2,Greedy,ttv,20.0,60001
2,Greedy,ttc,3.0,25879
2,Greedy,ttv,0.0,15760
2,Greedy,ttc,0.0,9041
2,Greedy,ttv,18.0,49790
2,Greedy,ttc,0.0,26255
2,Greedy,ttv,0.0,48366
2,Greedy,ttc,1.0,60005
2,Greedy,ttv,37.0,54512
2,Greedy,ttc,2.0,8035
2,Greedy,ttv,31.0,60010
2,Greedy,ttc,0.0,6001
2,Greedy,ttv,0.0,10056
2,Greedy,ttc,2.0,7291
2,Greedy,ttv,13.0,5021
2,Greedy,ttc,0.0,5958
2,Greedy,ttv,0.0,5097
2,Greedy,ttc,2.0,60007
2,Greedy,ttv,13.0,27102
2,Greedy,ttc,2.0,60007
2,Greedy,ttv,5.0,60003
2,Greedy,ttc,0.0,2418
2,Greedy,ttv,0.0,883
2,Greedy,ttc,0.0,2498
2,Greedy,ttv,0.0,979
2,Greedy,ttc,0.0,2577
2,Greedy,ttv,0.0,1039
2,Greedy,ttc,0.0,2645
2,Greedy,ttv,0.0,1087
2,Greedy,ttc,0.0,2719
