gameID,optimisationTechnique,objectiveFunction,score,computationTime
1,Greedy,ttc,3.0,22
1,Greedy,ttv,115.0,6629
1,Greedy,ttc,0.0,1
1,Greedy,ttv,0.0,1
1,Greedy,ttc,3.0,2
1,Greedy,ttv,0.0,1
1,Greedy,ttc,0.0,1
1,Greedy,ttv,0.0,1
1,Greedy,ttc,0.0,1
1,Greedy,ttv,0.0,1
1,Greedy,ttc,6.0,775
1,Greedy,ttv,29.0,246
1,Greedy,ttc,0.0,2
1,Greedy,ttv,0.0,1
1,Greedy,ttc,0.0,2
1,Greedy,ttv,0.0,2
1,Greedy,ttc,0.0,1
1,Greedy,ttv,2.0,7
1,Greedy,ttc,3.0,1431
1,Greedy,ttv,0.0,13
1,Greedy,ttc,0.0,9
1,Greedy,ttv,0.0,11
1,Greedy,ttc,0.0,4
1,Greedy,ttv,8.0,5
1,Greedy,ttc,4.0,1601
1,Greedy,ttv,22.0,5
1,Greedy,ttc,0.0,1
1,Greedy,ttv,0.0,1
1,Greedy,ttc,0.0,0
1,Greedy,ttv,0.0,2
1,Greedy,ttc,1.0,155
1,Greedy,ttv,31.0,60095
1,Greedy,ttc,0.0,1
1,Greedy,ttv,0.0,1
1,Greedy,ttc,0.0,1
1,Greedy,ttv,0.0,1
1,Greedy,ttc,4.0,29080
1,Greedy,ttv,40.0,60125
1,Greedy,ttc,0.0,4
1,Greedy,ttv,0.0,13
1,Greedy,ttc,0.0,5
1,Greedy,ttv,0.0,15
1,Greedy,ttc,1.0,56
1,Greedy,ttv,0.0,339
1,Greedy,ttc,0.0,71
1,Greedy,ttv,21.0,3731
1,Greedy,ttc,2.0,60007
1,Greedy,ttv,0.0,464
1,Greedy,ttc,0.0,345
1,Greedy,ttv,25.0,10704
1,Greedy,ttc,1.0,4807
1,Greedy,ttv,8.0,43
1,Greedy,ttc,0.0,29
1,Greedy,ttv,0.0,49
1,Greedy,ttc,0.0,54
1,Greedy,ttv,0.0,84
1,Greedy,ttc,0.0,212
1,Greedy,ttv,0.0,94
1,Greedy,ttc,2.0,269
1,Greedy,ttv,33.0,1260
1,Greedy,ttc,0.0,3
1,Greedy,ttv,0.0,3
1,Greedy,ttc,0.0,4
1,Greedy,ttv,15.0,29
1,Greedy,ttc,1.0,494
1,Greedy,ttv,0.0,98
1,Greedy,ttc,0.0,483
1,Greedy,ttv,0.0,514
1,Greedy,ttc,0.0,470
1,Greedy,ttv,13.0,3785
1,Greedy,ttc,3.0,60053
1,Greedy,ttv,17.0,60008
1,Greedy,ttc,0.0,34650
1,Greedy,ttv,0.0,60003
1,Greedy,ttc,1.0,60003
1,Greedy,ttv,19.0,60003
1,Greedy,ttc,0.0,10751
1,Greedy,ttv,0.0,9534
1,Greedy,ttc,2.0,60006
1,Greedy,ttv,0.0,414
1,Greedy,ttc,0.0,361
1,Greedy,ttv,0.0,1475
1,Greedy,ttc,1.0,60011
1,Greedy,ttv,19.0,60017
1,Greedy,ttc,2.0,60016
2,Greedy,ttc,6.0,11
2,Greedy,ttv,0.0,1
2,Greedy,ttc,0.0,1
2,Greedy,ttv,0.0,1
2,Greedy,ttc,0.0,1
2,Greedy,ttv,0.0,1
2,Greedy,ttc,0.0,1
2,Greedy,ttv,0.0,1
2,Greedy,ttc,4.0,6
2,Greedy,ttv,41.0,159
2,Greedy,ttc,2.0,332
2,Greedy,ttv,0.0,5
2,Greedy,ttc,0.0,1
2,Greedy,ttv,0.0,2
2,Greedy,ttc,0.0,1
2,Greedy,ttv,33.0,5
2,Greedy,ttc,1.0,11
2,Greedy,ttv,0.0,7
2,Greedy,ttc,0.0,13
2,Greedy,ttv,24.0,20
2,Greedy,ttc,2.0,2239
2,Greedy,ttv,0.0,1
2,Greedy,ttc,0.0,0
2,Greedy,ttv,3.0,1
2,Greedy,ttc,0.0,1
2,Greedy,ttv,0.0,1
2,Greedy,ttc,1.0,9
2,Greedy,ttv,12.0,325
2,Greedy,ttc,1.0,1019
2,Greedy,ttv,0.0,0
2,Greedy,ttc,0.0,0
2,Greedy,ttv,0.0,1
2,Greedy,ttc,0.0,1
2,Greedy,ttv,0.0,1
2,Greedy,ttc,0.0,1
2,Greedy,ttv,12.0,1
2,Greedy,ttc,1.0,2
2,Greedy,ttv,0.0,3
2,Greedy,ttc,0.0,2
2,Greedy,ttv,0.0,4
2,Greedy,ttc,1.0,28
2,Greedy,ttv,4.0,124
2,Greedy,ttc,0.0,405
2,Greedy,ttv,0.0,130
2,Greedy,ttc,3.0,16059
2,Greedy,ttv,13.0,3031
2,Greedy,ttc,0.0,5205
2,Greedy,ttv,0.0,3010
2,Greedy,ttc,2.0,60008
2,Greedy,ttv,20.0,522
2,Greedy,ttc,0.0,3
2,Greedy,ttv,14.0,29
2,Greedy,ttc,0.0,29
2,Greedy,ttv,0.0,32
2,Greedy,ttc,1.0,430
2,Greedy,ttv,24.0,34397
2,Greedy,ttc,0.0,36052
2,Greedy,ttv,0.0,33630
2,Greedy,ttc,1.0,60004
2,Greedy,ttv,0.0,60002
2,Greedy,ttc,0.0,60002
2,Greedy,ttv,49.0,60036
2,Greedy,ttc,0.0,60003
2,Greedy,ttv,11.0,60003
2,Greedy,ttc,3.0,60039
2,Greedy,ttv,28.0,60004
2,Greedy,ttc,0.0,60002
2,Greedy,ttv,0.0,60002
2,Greedy,ttc,1.0,60002
2,Greedy,ttv,17.0,60002
2,Greedy,ttc,0.0,60001
2,Greedy,ttv,0.0,60001
2,Greedy,ttc,1.0,60001
2,Greedy,ttv,22.0,60002
2,Greedy,ttc,1.0,60002
2,Greedy,ttv,17.0,60004
2,Greedy,ttc,0.0,33
2,Greedy,ttv,0.0,21
2,Greedy,ttc,1.0,5991
2,Greedy,ttv,26.0,60017
2,Greedy,ttc,0.0,60002
2,Greedy,ttv,0.0,60002
2,Greedy,ttc,1.0,60003
2,Greedy,ttv,12.0,60001
2,Greedy,ttc,2.0,60007
2,Greedy,ttv,0.0,60001
2,Greedy,ttc,0.0,60001
2,Greedy,ttv,0.0,60001
2,Greedy,ttc,1.0,60002
2,Greedy,ttv,18.0,60004
2,Greedy,ttc,0.0,60001
2,Greedy,ttv,0.0,60002
2,Greedy,ttc,1.0,60003
