gameID,winners
1,Greedy-ttc
2,Greedy-ttc
3,Greedy-ttc
4,Greedy-ttv
5,Greedy-ttv
6,Greedy-ttc
7,Greedy-ttcwscm
8,Greedy-ttc
9,Greedy-ttcwscm
10,Greedy-ttc
11,Greedy-ttc
12,Greedy-ttc
13,Greedy-ttvwscm
14,Greedy-ttvwscm
15,Greedy-ttvwscm
16,Greedy-ttcwscm
17,Greedy-ttv
18,Greedy-ttcwscm
19,Greedy-ttv
20,Greedy-ttv
21,Greedy-ttvwscm
22,Greedy-ttv
23,Greedy-ttvwscm
24,Greedy-ttvwscm
25,Greedy-ttvwscm
26,Greedy-ttvwscm
27,Greedy-ttvwscm
28,Greedy-ttcwscm
29,Greedy-ttcwscm
30,Greedy-ttcwscm
31,Greedy-ttc
32,AlphaBeta-ttc
33,AlphaBeta-ttc
34,AlphaBeta-ttc
35,AlphaBeta-ttc
36,Greedy-ttc
37,AlphaBeta-ttv
38,AlphaBeta-ttv
39,AlphaBeta-ttv
40,AlphaBeta-ttv
41,Greedy-ttc
42,Greedy-ttc
43,AlphaBeta-ttcwscm
44,AlphaBeta-ttcwscm
45,Greedy-ttc
46,AlphaBeta-ttvwscm
47,AlphaBeta-ttvwscm
48,AlphaBeta-ttvwscm
49,Greedy-ttc
50,Greedy-ttc
51,AlphaBeta-ttv
52,Greedy-ttv
53,Greedy-ttv
54,Greedy-ttv
55,Greedy-ttv
56,Greedy-ttv
57,AlphaBeta-ttcwscm
58,AlphaBeta-ttcwscm
59,AlphaBeta-ttcwscm
60,Greedy-ttv
61,Greedy-ttv
62,Greedy-ttv
63,AlphaBeta-ttvwscm
64,Greedy-ttv
65,AlphaBeta-ttvwscm
66,AlphaBeta-ttcwscm
67,Greedy-ttcwscm
68,Greedy-ttcwscm
69,AlphaBeta-ttcwscm
70,AlphaBeta-ttcwscm
71,AlphaBeta-ttvwscm
72,Greedy-ttcwscm
73,Greedy-ttcwscm
74,AlphaBeta-ttvwscm
75,AlphaBeta-ttvwscm
76,Greedy-ttvwscm
77,Greedy-ttvwscm
78,AlphaBeta-ttvwscm
79,AlphaBeta-ttvwscm
80,Greedy-ttvwscm
81,Greedy-ttc
82,ILP-ttc
83,ILP-ttc
84,ILP-ttc
85,ILP-ttc
86,Greedy-ttc
87,ILP-ttv
88,ILP-ttv
89,ILP-ttv
90,Greedy-ttc
91,ILP-ttcwscm
92,ILP-ttcwscm
93,Greedy-ttc
94,ILP-ttcwscm
95,Greedy-ttc
96,ILP-ttvwscm
97,ILP-ttvwscm
98,ILP-ttvwscm
99,Greedy-ttc
100,Greedy-ttc
101,ILP-ttv
102,ILP-ttv
103,ILP-ttv
104,ILP-ttv
105,ILP-ttv
106,ILP-ttcwscm
107,Greedy-ttv
108,ILP-ttcwscm
109,ILP-ttcwscm
110,ILP-ttcwscm
111,ILP-ttvwscm
112,Greedy-ttv
113,ILP-ttvwscm
114,ILP-ttvwscm
115,ILP-ttvwscm
116,ILP-ttcwscm
117,ILP-ttcwscm
118,ILP-ttcwscm
119,ILP-ttcwscm
120,ILP-ttcwscm
121,ILP-ttvwscm
122,ILP-ttvwscm
123,ILP-ttvwscm
124,ILP-ttvwscm
125,ILP-ttvwscm
126,ILP-ttvwscm
127,ILP-ttvwscm
128,ILP-ttvwscm
129,ILP-ttvwscm
130,ILP-ttvwscm
131,AlphaBeta-ttc
132,AlphaBeta-ttc
133,AlphaBeta-ttc
134,AlphaBeta-ttc
135,AlphaBeta-ttc
136,AlphaBeta-ttcwscm
137,AlphaBeta-ttc
138,AlphaBeta-ttc
139,AlphaBeta-ttcwscm
140,AlphaBeta-ttcwscm
141,AlphaBeta-ttc
142,AlphaBeta-ttc
143,AlphaBeta-ttc
144,AlphaBeta-ttc
145,AlphaBeta-ttvwscm
146,AlphaBeta-ttcwscm
147,AlphaBeta-ttcwscm
148,AlphaBeta-ttv
149,AlphaBeta-ttv
150,AlphaBeta-ttcwscm
151,AlphaBeta-ttv
152,AlphaBeta-ttvwscm
153,AlphaBeta-ttv
154,AlphaBeta-ttv
155,AlphaBeta-ttvwscm
156,AlphaBeta-ttcwscm
157,AlphaBeta-ttcwscm
158,AlphaBeta-ttvwscm
159,AlphaBeta-ttcwscm
160,AlphaBeta-ttcwscm
161,ILP-ttc
162,ILP-ttc
163,ILP-ttc
164,ILP-ttc
165,ILP-ttc
166,ILP-ttv
167,ILP-ttv
168,AlphaBeta-ttc
169,ILP-ttv
170,ILP-ttv
171,ILP-ttcwscm
172,AlphaBeta-ttc
173,ILP-ttcwscm
174,ILP-ttcwscm
175,ILP-ttcwscm
176,ILP-ttvwscm
177,ILP-ttvwscm
178,ILP-ttvwscm
179,ILP-ttvwscm
180,ILP-ttvwscm
181,ILP-ttv
182,ILP-ttv
183,ILP-ttv
184,ILP-ttv
185,ILP-ttv
186,ILP-ttcwscm
187,AlphaBeta-ttv
188,ILP-ttcwscm
189,ILP-ttcwscm
190,ILP-ttcwscm
191,ILP-ttvwscm
192,ILP-ttvwscm
193,ILP-ttvwscm
194,ILP-ttvwscm
195,ILP-ttvwscm
196,ILP-ttcwscm
197,ILP-ttcwscm
198,ILP-ttcwscm
199,ILP-ttcwscm
200,ILP-ttcwscm
201,ILP-ttvwscm
202,ILP-ttvwscm
203,ILP-ttvwscm
204,AlphaBeta-ttcwscm
205,ILP-ttvwscm
206,ILP-ttvwscm
207,ILP-ttvwscm
208,ILP-ttvwscm
209,ILP-ttvwscm
210,ILP-ttvwscm
211,ILP-ttc
212,ILP-ttc
213,ILP-ttc
214,ILP-ttc
215,ILP-ttc
216,ILP-ttc
217,ILP-ttcwscm
218,ILP-ttcwscm
219,ILP-ttcwscm
220,ILP-ttc
221,ILP-ttvwscm
222,ILP-ttvwscm
223,ILP-ttc
224,ILP-ttvwscm
225,ILP-ttc
226,ILP-ttcwscm
227,ILP-ttv
228,ILP-ttcwscm
229,ILP-ttv
230,ILP-ttv
231,ILP-ttv
232,ILP-ttvwscm
233,ILP-ttv
234,ILP-ttvwscm
235,ILP-ttvwscm
236,ILP-ttcwscm
237,ILP-ttvwscm
238,ILP-ttcwscm
239,ILP-ttcwscm
240,ILP-ttcwscm
