gameID,optimisationTechnique,objectiveFunction,score,computationTime
1,Greedy,ttc,6.0,56
1,Greedy,ttv,0.0,5
1,Greedy,ttc,0.0,3
1,Greedy,ttv,0.0,6
1,Greedy,ttc,0.0,34
1,Greedy,ttv,0.0,8
1,Greedy,ttc,3.0,126
1,Greedy,ttv,84.0,9895
1,Greedy,ttc,2.0,3201
1,Greedy,ttv,21.0,15
1,Greedy,ttc,0.0,9
1,Greedy,ttv,0.0,23
1,Greedy,ttc,0.0,10
1,Greedy,ttv,30.0,26
1,Greedy,ttc,0.0,4
1,Greedy,ttv,0.0,3
1,Greedy,ttc,0.0,4
1,Greedy,ttv,39.0,16892
1,Greedy,ttc,0.0,4
1,Greedy,ttv,10.0,17
1,Greedy,ttc,0.0,28
1,Greedy,ttv,0.0,15
1,Greedy,ttc,0.0,19
1,Greedy,ttv,0.0,17
1,Greedy,ttc,0.0,27
1,Greedy,ttv,0.0,18
1,Greedy,ttc,3.0,23207
1,Greedy,ttv,9.0,1487
1,Greedy,ttc,0.0,1542
1,Greedy,ttv,0.0,1344
1,Greedy,ttc,1.0,3704
1,Greedy,ttv,0.0,4
1,Greedy,ttc,0.0,4
1,Greedy,ttv,8.0,25
1,Greedy,ttc,0.0,34
1,Greedy,ttv,0.0,35
1,Greedy,ttc,0.0,33
1,Greedy,ttv,0.0,29
1,Greedy,ttc,2.0,47
1,Greedy,ttv,0.0,11
1,Greedy,ttc,0.0,5
1,Greedy,ttv,27.0,995
1,Greedy,ttc,3.0,928
1,Greedy,ttv,8.0,34
1,Greedy,ttc,0.0,128
1,Greedy,ttv,0.0,55
1,Greedy,ttc,0.0,312
1,Greedy,ttv,51.0,60046
1,Greedy,ttc,3.0,7
1,Greedy,ttv,15.0,40
1,Greedy,ttc,0.0,47
1,Greedy,ttv,0.0,44
1,Greedy,ttc,0.0,46
1,Greedy,ttv,0.0,70
1,Greedy,ttc,3.0,60028
1,Greedy,ttv,31.0,60118
2,Greedy,ttc,4.0,36
2,Greedy,ttv,30.0,9
2,Greedy,ttc,1.0,7
2,Greedy,ttv,0.0,3
2,Greedy,ttc,0.0,5
2,Greedy,ttv,0.0,4
2,Greedy,ttc,0.0,5
2,Greedy,ttv,0.0,6
2,Greedy,ttc,1.0,16
2,Greedy,ttv,0.0,13
2,Greedy,ttc,0.0,40
2,Greedy,ttv,36.0,65
2,Greedy,ttc,2.0,130
2,Greedy,ttv,10.0,13
2,Greedy,ttc,0.0,2
2,Greedy,ttv,0.0,1
2,Greedy,ttc,0.0,2
2,Greedy,ttv,0.0,2
2,Greedy,ttc,1.0,9
2,Greedy,ttv,0.0,12
2,Greedy,ttc,0.0,9
2,Greedy,ttv,0.0,7
2,Greedy,ttc,3.0,26
2,Greedy,ttv,0.0,12
2,Greedy,ttc,0.0,17
2,Greedy,ttv,33.0,16
2,Greedy,ttc,1.0,387
2,Greedy,ttv,0.0,93
2,Greedy,ttc,0.0,388
2,Greedy,ttv,0.0,129
2,Greedy,ttc,3.0,4578
2,Greedy,ttv,4.0,73
2,Greedy,ttc,0.0,5
2,Greedy,ttv,0.0,3
2,Greedy,ttc,2.0,1895
2,Greedy,ttv,24.0,2274
2,Greedy,ttc,2.0,1461
2,Greedy,ttv,19.0,3029
2,Greedy,ttc,0.0,3
2,Greedy,ttv,0.0,6
2,Greedy,ttc,3.0,12456
2,Greedy,ttv,61.0,60070
2,Greedy,ttc,0.0,2
2,Greedy,ttv,0.0,5
2,Greedy,ttc,0.0,2
2,Greedy,ttv,48.0,60071
2,Greedy,ttc,0.0,3
2,Greedy,ttv,0.0,5
2,Greedy,ttc,2.0,543
2,Greedy,ttv,0.0,715
2,Greedy,ttc,0.0,488
2,Greedy,ttv,22.0,4572
2,Greedy,ttc,1.0,4603
2,Greedy,ttv,0.0,7513
2,Greedy,ttc,0.0,4648
2,Greedy,ttv,66.0,60017
2,Greedy,ttc,2.0,60042
2,Greedy,ttv,14.0,60004
2,Greedy,ttc,0.0,54
2,Greedy,ttv,0.0,103
2,Greedy,ttc,1.0,5706
2,Greedy,ttv,19.0,60015
2,Greedy,ttc,0.0,189
2,Greedy,ttv,0.0,303
2,Greedy,ttc,1.0,60038
2,Greedy,ttv,14.0,60024
2,Greedy,ttc,0.0,60004
2,Greedy,ttv,0.0,60003
2,Greedy,ttc,1.0,60004
2,Greedy,ttv,0.0,904
2,Greedy,ttc,0.0,727
2,Greedy,ttv,11.0,10631
2,Greedy,ttc,1.0,13916
2,Greedy,ttv,0.0,17229
2,Greedy,ttc,0.0,14110
2,Greedy,ttv,0.0,36332
2,Greedy,ttc,1.0,60003
2,Greedy,ttv,38.0,60002
2,Greedy,ttc,0.0,16875
2,Greedy,ttv,0.0,42057
2,Greedy,ttc,1.0,60002
2,Greedy,ttv,38.0,60052
2,Greedy,ttc,0.0,5091
2,Greedy,ttv,17.0,60014
2,Greedy,ttc,1.0,60003
2,Greedy,ttv,0.0,60001
2,Greedy,ttc,0.0,60002
2,Greedy,ttv,14.0,60003
2,Greedy,ttc,2.0,60004
3,Greedy,ttc,0.0,1
3,Greedy,ttv,18.0,5
3,Greedy,ttc,1.0,12
3,Greedy,ttv,8.0,15
3,Greedy,ttc,1.0,3
3,Greedy,ttv,10.0,18
3,Greedy,ttc,0.0,57
3,Greedy,ttv,0.0,20
3,Greedy,ttc,3.0,192
3,Greedy,ttv,6.0,90
3,Greedy,ttc,0.0,81
3,Greedy,ttv,0.0,56
3,Greedy,ttc,1.0,148
3,Greedy,ttv,0.0,1
3,Greedy,ttc,0.0,1
3,Greedy,ttv,0.0,1
3,Greedy,ttc,3.0,2
3,Greedy,ttv,21.0,1
3,Greedy,ttc,0.0,1
3,Greedy,ttv,0.0,1
3,Greedy,ttc,1.0,3
3,Greedy,ttv,4.0,21
3,Greedy,ttc,2.0,32
3,Greedy,ttv,4.0,91
3,Greedy,ttc,0.0,61
3,Greedy,ttv,0.0,57
3,Greedy,ttc,0.0,264
3,Greedy,ttv,0.0,68
3,Greedy,ttc,1.0,1949
3,Greedy,ttv,17.0,23695
3,Greedy,ttc,1.0,33012
3,Greedy,ttv,8.0,60004
3,Greedy,ttc,0.0,573
3,Greedy,ttv,0.0,513
3,Greedy,ttc,0.0,599
3,Greedy,ttv,13.0,6815
3,Greedy,ttc,1.0,508
3,Greedy,ttv,0.0,495
3,Greedy,ttc,0.0,529
3,Greedy,ttv,0.0,635
3,Greedy,ttc,2.0,9215
3,Greedy,ttv,11.0,55225
3,Greedy,ttc,2.0,3416
3,Greedy,ttv,5.0,23098
3,Greedy,ttc,0.0,189
3,Greedy,ttv,0.0,187
3,Greedy,ttc,3.0,60027
3,Greedy,ttv,21.0,60034
3,Greedy,ttc,1.0,60003
3,Greedy,ttv,0.0,90
3,Greedy,ttc,0.0,115
3,Greedy,ttv,0.0,159
3,Greedy,ttc,0.0,194
3,Greedy,ttv,0.0,145
3,Greedy,ttc,1.0,2503
3,Greedy,ttv,31.0,60013
3,Greedy,ttc,0.0,134
3,Greedy,ttv,18.0,38896
3,Greedy,ttc,1.0,2
3,Greedy,ttv,0.0,1
3,Greedy,ttc,0.0,2
3,Greedy,ttv,7.0,59
3,Greedy,ttc,1.0,1599
3,Greedy,ttv,0.0,1749
3,Greedy,ttc,0.0,1249
3,Greedy,ttv,18.0,12562
3,Greedy,ttc,2.0,20336
3,Greedy,ttv,0.0,967
3,Greedy,ttc,0.0,466
3,Greedy,ttv,0.0,1137
3,Greedy,ttc,0.0,531
3,Greedy,ttv,24.0,6202
3,Greedy,ttc,1.0,4124
3,Greedy,ttv,12.0,388
3,Greedy,ttc,0.0,558
3,Greedy,ttv,0.0,362
3,Greedy,ttc,0.0,570
3,Greedy,ttv,10.0,2712
3,Greedy,ttc,1.0,8669
3,Greedy,ttv,0.0,7414
3,Greedy,ttc,0.0,8665
3,Greedy,ttv,10.0,60003
3,Greedy,ttc,4.0,60051
3,Greedy,ttv,0.0,14283
3,Greedy,ttc,0.0,14095
3,Greedy,ttv,0.0,16308
3,Greedy,ttc,0.0,16134
3,Greedy,ttv,0.0,17528
3,Greedy,ttc,0.0,36418
3,Greedy,ttv,0.0,18362
3,Greedy,ttc,1.0,60003
3,Greedy,ttv,14.0,60033
3,Greedy,ttc,0.0,24328
3,Greedy,ttv,4.0,60003
3,Greedy,ttc,0.0,60002
3,Greedy,ttv,0.0,60001
3,Greedy,ttc,1.0,60003
3,Greedy,ttv,1.0,60001
3,Greedy,ttc,0.0,60001
