gameID,winners
1,Greedy-ttc
2,Greedy-ttv
3,Greedy-ttv
4,Greedy-ttc
5,Greedy-ttc
6,Greedy-ttc
7,Greedy-ttc
8,Greedy-ttcwscm
9,Greedy-ttcwscm
10,Greedy-ttcwscm
11,Greedy-ttc
12,Greedy-ttc
13,Greedy-ttc
14,Greedy-ttc
15,Greedy-ttvwscm
16,Greedy-ttcwscm
17,Greedy-ttv
18,Greedy-ttv
19,Greedy-ttcwscm
20,Greedy-ttcwscm
21,Greedy-ttvwscm
22,Greedy-ttvwscm
23,Greedy-ttv
24,Greedy-ttvwscm
25,Greedy-ttv
26,Greedy-ttvwscm
27,Greedy-ttvwscm
28,Greedy-ttcwscm
29,Greedy-ttcwscm
30,Greedy-ttcwscm
31,Greedy-ttc
32,AlphaBeta-ttc
33,AlphaBeta-ttc
34,AlphaBeta-ttc
35,AlphaBeta-ttc
36,Greedy-ttc
37,Greedy-ttc
38,Greedy-ttc
39,Greedy-ttc
40,AlphaBeta-ttv
41,Greedy-ttc
42,Greedy-ttc
43,AlphaBeta-ttcwscm
44,Greedy-ttc
45,AlphaBeta-ttcwscm
46,Greedy-ttc
47,Greedy-ttc
48,Greedy-ttc
49,Greedy-ttc
50,Greedy-ttc
51,AlphaBeta-ttv
52,Greedy-ttv
53,Greedy-ttv
54,AlphaBeta-ttv
55,Greedy-ttv
56,Greedy-ttv
57,AlphaBeta-ttcwscm
58,Greedy-ttv
59,AlphaBeta-ttcwscm
60,Greedy-ttv
61,Greedy-ttv
62,Greedy-ttv
63,AlphaBeta-ttvwscm
64,Greedy-ttv
65,Greedy-ttv
66,Greedy-ttcwscm
67,AlphaBeta-ttcwscm
68,AlphaBeta-ttcwscm
69,Greedy-ttcwscm
70,Greedy-ttcwscm
71,AlphaBeta-ttvwscm
72,Greedy-ttcwscm
73,AlphaBeta-ttvwscm
74,Greedy-ttcwscm
75,AlphaBeta-ttvwscm
76,Greedy-ttvwscm
77,Greedy-ttvwscm
78,Greedy-ttvwscm
79,Greedy-ttvwscm
80,AlphaBeta-ttvwscm
81,ILP-ttc
82,ILP-ttc
83,ILP-ttc
84,ILP-ttc
85,ILP-ttc
86,ILP-ttv
87,ILP-ttv
88,ILP-ttv
89,ILP-ttv
90,ILP-ttv
91,ILP-ttcwscm
92,Greedy-ttc
93,ILP-ttcwscm
94,ILP-ttcwscm
95,ILP-ttcwscm
96,ILP-ttvwscm
97,ILP-ttvwscm
98,Greedy-ttc
99,ILP-ttvwscm
100,ILP-ttvwscm
101,ILP-ttv
102,ILP-ttv
103,ILP-ttv
104,ILP-ttv
105,ILP-ttv
106,ILP-ttcwscm
107,ILP-ttcwscm
108,ILP-ttcwscm
109,ILP-ttcwscm
110,ILP-ttcwscm
111,ILP-ttvwscm
112,ILP-ttvwscm
113,ILP-ttvwscm
114,ILP-ttvwscm
115,ILP-ttvwscm
116,ILP-ttcwscm
117,ILP-ttcwscm
118,Greedy-ttcwscm
