gameID,optimisationTechnique,objectiveFunction,score,computationTime
1,Greedy,ttc,0.0,38
1,Greedy,ttv,54.0,134
1,Greedy,ttc,4.0,577
1,Greedy,ttv,0.0,9
1,Greedy,ttc,0.0,10
1,Greedy,ttv,0.0,16
1,Greedy,ttc,0.0,7
1,Greedy,ttv,0.0,6
1,Greedy,ttc,0.0,12
1,Greedy,ttv,0.0,15
1,Greedy,ttc,0.0,17
1,Greedy,ttv,0.0,8
1,Greedy,ttc,0.0,5
1,Greedy,ttv,0.0,6
1,Greedy,ttc,0.0,8
1,Greedy,ttv,10.0,50
1,Greedy,ttc,2.0,2003
1,Greedy,ttv,7.0,101
1,Greedy,ttc,2.0,233
1,Greedy,ttv,0.0,82
1,Greedy,ttc,0.0,38
1,Greedy,ttv,0.0,8
1,Greedy,ttc,0.0,15
1,Greedy,ttv,0.0,6
1,Greedy,ttc,0.0,14
1,Greedy,ttv,10.0,71
1,Greedy,ttc,2.0,164
1,Greedy,ttv,0.0,12
1,Greedy,ttc,0.0,20
1,Greedy,ttv,10.0,444
1,Greedy,ttc,2.0,725
1,Greedy,ttv,0.0,5
1,Greedy,ttc,0.0,4
1,Greedy,ttv,24.0,34
1,Greedy,ttc,3.0,133
1,Greedy,ttv,0.0,6
1,Greedy,ttc,0.0,5
1,Greedy,ttv,0.0,6
1,Greedy,ttc,2.0,1731
1,Greedy,ttv,35.0,4831
1,Greedy,ttc,0.0,14
1,Greedy,ttv,21.0,565
1,Greedy,ttc,4.0,12702
1,Greedy,ttv,22.0,21165
1,Greedy,ttc,0.0,5017
1,Greedy,ttv,0.0,21022
1,Greedy,ttc,0.0,7792
1,Greedy,ttv,0.0,21354
1,Greedy,ttc,0.0,8012
1,Greedy,ttv,70.0,60082
1,Greedy,ttc,1.0,20993
1,Greedy,ttv,29.0,60004
1,Greedy,ttc,0.0,60004
1,Greedy,ttv,0.0,60002
1,Greedy,ttc,3.0,60046
1,Greedy,ttv,33.0,60043
1,Greedy,ttc,2.0,60024
1,Greedy,ttv,36.0,60013
1,Greedy,ttc,0.0,12625
1,Greedy,ttv,21.0,60003
1,Greedy,ttc,1.0,60001
1,Greedy,ttv,0.0,60001
1,Greedy,ttc,0.0,60002
1,Greedy,ttv,16.0,60001
1,Greedy,ttc,2.0,60002
1,Greedy,ttv,16.0,60002
1,Greedy,ttc,0.0,25893
1,Greedy,ttv,0.0,59122
1,Greedy,ttc,2.0,60022
1,Greedy,ttv,0.0,14603
1,Greedy,ttc,0.0,6154
1,Greedy,ttv,30.0,25334
1,Greedy,ttc,1.0,30743
1,Greedy,ttv,0.0,33112
1,Greedy,ttc,0.0,31328
1,Greedy,ttv,8.0,60002
1,Greedy,ttc,2.0,60002
1,Greedy,ttv,13.0,60010
1,Greedy,ttc,0.0,1195
1,Greedy,ttv,7.0,10337
1,Greedy,ttc,1.0,45120
1,Greedy,ttv,0.0,16
1,Greedy,ttc,0.0,15
1,Greedy,ttv,0.0,32
1,Greedy,ttc,1.0,60018
1,Greedy,ttv,18.0,60007
1,Greedy,ttc,0.0,2
1,Greedy,ttv,19.0,36
1,Greedy,ttc,0.0,56
1,Greedy,ttv,0.0,41
1,Greedy,ttc,0.0,102
1,Greedy,ttv,21.0,60015
1,Greedy,ttc,3.0,60263
1,Greedy,ttv,0.0,0
1,Greedy,ttc,0.0,0
1,Greedy,ttv,5.0,2
1,Greedy,ttc,1.0,4853
1,Greedy,ttv,0.0,2465
1,Greedy,ttc,0.0,4713
1,Greedy,ttv,0.0,3180
1,Greedy,ttc,1.0,60014
1,Greedy,ttv,8.0,60019
1,Greedy,ttc,0.0,60002
1,Greedy,ttv,2.0,60002
1,Greedy,ttc,2.0,60015
1,Greedy,ttv,0.0,60003
1,Greedy,ttc,1.0,60002
2,Greedy,ttc,0.0,1
2,Greedy,ttv,9.0,2
2,Greedy,ttc,0.0,1
2,Greedy,ttv,0.0,1
2,Greedy,ttc,3.0,2
2,Greedy,ttv,0.0,1
2,Greedy,ttc,0.0,1
2,Greedy,ttv,1.0,5
2,Greedy,ttc,5.0,10
2,Greedy,ttv,4.0,6
2,Greedy,ttc,0.0,12
2,Greedy,ttv,0.0,7
2,Greedy,ttc,0.0,12
2,Greedy,ttv,8.0,9
2,Greedy,ttc,1.0,3
2,Greedy,ttv,4.0,3
2,Greedy,ttc,0.0,1
2,Greedy,ttv,0.0,1
2,Greedy,ttc,0.0,0
2,Greedy,ttv,0.0,0
2,Greedy,ttc,0.0,1
2,Greedy,ttv,0.0,1
2,Greedy,ttc,0.0,0
2,Greedy,ttv,0.0,1
2,Greedy,ttc,0.0,31
2,Greedy,ttv,24.0,32
2,Greedy,ttc,4.0,11
2,Greedy,ttv,19.0,354
2,Greedy,ttc,4.0,878
2,Greedy,ttv,0.0,1
2,Greedy,ttc,0.0,2
2,Greedy,ttv,10.0,61
2,Greedy,ttc,1.0,1180
2,Greedy,ttv,3.0,971
2,Greedy,ttc,0.0,6
2,Greedy,ttv,0.0,8
2,Greedy,ttc,0.0,7
2,Greedy,ttv,0.0,7
2,Greedy,ttc,0.0,11
2,Greedy,ttv,3.0,382
2,Greedy,ttc,2.0,351
2,Greedy,ttv,1.0,36
2,Greedy,ttc,0.0,49
2,Greedy,ttv,0.0,48
2,Greedy,ttc,0.0,51
2,Greedy,ttv,0.0,75
2,Greedy,ttc,1.0,292
2,Greedy,ttv,22.0,60038
2,Greedy,ttc,2.0,13119
2,Greedy,ttv,7.0,9001
2,Greedy,ttc,1.0,10288
2,Greedy,ttv,0.0,35
2,Greedy,ttc,0.0,51
2,Greedy,ttv,7.0,2086
2,Greedy,ttc,2.0,27837
2,Greedy,ttv,0.0,9963
2,Greedy,ttc,0.0,28241
2,Greedy,ttv,34.0,60004
2,Greedy,ttc,3.0,38336
2,Greedy,ttv,15.0,5672
2,Greedy,ttc,0.0,17594
2,Greedy,ttv,0.0,5906
2,Greedy,ttc,0.0,22317
2,Greedy,ttv,22.0,60004
3,Greedy,ttc,8.0,41
3,Greedy,ttv,45.0,133
3,Greedy,ttc,0.0,7
3,Greedy,ttv,0.0,71
3,Greedy,ttc,1.0,75
3,Greedy,ttv,54.0,944
3,Greedy,ttc,0.0,42
3,Greedy,ttv,0.0,421
3,Greedy,ttc,0.0,52
3,Greedy,ttv,0.0,424
3,Greedy,ttc,0.0,53
3,Greedy,ttv,0.0,476
3,Greedy,ttc,2.0,7931
3,Greedy,ttv,21.0,406
3,Greedy,ttc,0.0,76
3,Greedy,ttv,0.0,288
3,Greedy,ttc,0.0,75
3,Greedy,ttv,0.0,284
3,Greedy,ttc,2.0,104
3,Greedy,ttv,0.0,21
3,Greedy,ttc,0.0,8
3,Greedy,ttv,0.0,24
3,Greedy,ttc,0.0,9
3,Greedy,ttv,18.0,315
3,Greedy,ttc,4.0,170
3,Greedy,ttv,12.0,14
3,Greedy,ttc,0.0,12
3,Greedy,ttv,0.0,16
3,Greedy,ttc,0.0,20
3,Greedy,ttv,18.0,30
3,Greedy,ttc,1.0,68
3,Greedy,ttv,36.0,78
3,Greedy,ttc,1.0,27
3,Greedy,ttv,0.0,93
3,Greedy,ttc,0.0,20
3,Greedy,ttv,0.0,65
3,Greedy,ttc,1.0,699
3,Greedy,ttv,24.0,2214
3,Greedy,ttc,0.0,2
3,Greedy,ttv,0.0,2
3,Greedy,ttc,1.0,39
3,Greedy,ttv,6.0,341
3,Greedy,ttc,1.0,3324
3,Greedy,ttv,9.0,4757
3,Greedy,ttc,1.0,712
3,Greedy,ttv,2.0,773
3,Greedy,ttc,0.0,39
3,Greedy,ttv,0.0,47
3,Greedy,ttc,0.0,43
3,Greedy,ttv,22.0,2925
3,Greedy,ttc,0.0,1388
3,Greedy,ttv,0.0,3806
3,Greedy,ttc,2.0,1532
3,Greedy,ttv,0.0,424
3,Greedy,ttc,0.0,103
3,Greedy,ttv,32.0,19841
3,Greedy,ttc,1.0,4
3,Greedy,ttv,11.0,7
3,Greedy,ttc,1.0,5
3,Greedy,ttv,0.0,4
3,Greedy,ttc,0.0,4
3,Greedy,ttv,0.0,5
3,Greedy,ttc,1.0,40
3,Greedy,ttv,35.0,35523
3,Greedy,ttc,0.0,11
3,Greedy,ttv,1.0,43
3,Greedy,ttc,0.0,45
3,Greedy,ttv,0.0,41
3,Greedy,ttc,0.0,54
3,Greedy,ttv,0.0,71
3,Greedy,ttc,0.0,70
3,Greedy,ttv,14.0,59
3,Greedy,ttc,3.0,8863
3,Greedy,ttv,1.0,4
3,Greedy,ttc,0.0,5
3,Greedy,ttv,0.0,8
3,Greedy,ttc,0.0,10
3,Greedy,ttv,19.0,1347
3,Greedy,ttc,1.0,1529
3,Greedy,ttv,0.0,6
3,Greedy,ttc,0.0,10
3,Greedy,ttv,23.0,1245
3,Greedy,ttc,0.0,922
3,Greedy,ttv,0.0,1494
3,Greedy,ttc,0.0,1955
3,Greedy,ttv,12.0,7819
3,Greedy,ttc,4.0,60098
3,Greedy,ttv,0.0,38176
3,Greedy,ttc,0.0,19073
3,Greedy,ttv,12.0,60004
3,Greedy,ttc,1.0,60002
3,Greedy,ttv,11.0,10318
3,Greedy,ttc,0.0,13693
3,Greedy,ttv,0.0,10461
3,Greedy,ttc,1.0,60004
3,Greedy,ttv,3.0,60003
3,Greedy,ttc,0.0,60001
3,Greedy,ttv,0.0,60001
3,Greedy,ttc,3.0,60034
3,Greedy,ttv,7.0,60002
3,Greedy,ttc,0.0,60001
3,Greedy,ttv,0.0,60001
3,Greedy,ttc,0.0,60020
3,Greedy,ttv,5.0,60006
3,Greedy,ttc,2.0,60004
3,Greedy,ttv,0.0,60003
3,Greedy,ttc,2.0,60026
4,Greedy,ttc,0.0,1
4,Greedy,ttcwscm,3.0,2
4,Greedy,ttc,3.0,2
4,Greedy,ttcwscm,0.0,1
4,Greedy,ttc,0.0,1
4,Greedy,ttcwscm,3.05,1
4,Greedy,ttc,0.0,1
4,Greedy,ttcwscm,0.0,1
4,Greedy,ttc,0.0,1
4,Greedy,ttcwscm,3.0749999999999997,1
4,Greedy,ttc,1.0,4
4,Greedy,ttcwscm,0.0,3
4,Greedy,ttc,0.0,4
4,Greedy,ttcwscm,0.0,2
4,Greedy,ttc,3.0,9
4,Greedy,ttcwscm,3.1249999999999996,4
4,Greedy,ttc,1.0,82
4,Greedy,ttcwscm,0.0,24
4,Greedy,ttc,0.0,130
4,Greedy,ttcwscm,0.0,87
4,Greedy,ttc,0.0,85
4,Greedy,ttcwscm,0.0,82
4,Greedy,ttc,3.0,186
4,Greedy,ttcwscm,2.1499999999999995,145
4,Greedy,ttc,0.0,6
4,Greedy,ttcwscm,0.0,9
4,Greedy,ttc,3.0,36
4,Greedy,ttcwscm,2.1749999999999994,20055
4,Greedy,ttc,0.0,2703
4,Greedy,ttcwscm,0.0,20984
4,Greedy,ttc,3.0,5398
4,Greedy,ttcwscm,0.0,21766
4,Greedy,ttc,0.0,2566
4,Greedy,ttcwscm,0.0,22813
4,Greedy,ttc,3.0,5127
4,Greedy,ttcwscm,2.224999999999999,27510
4,Greedy,ttc,0.0,62
4,Greedy,ttcwscm,0.0,1058
4,Greedy,ttc,3.0,89
4,Greedy,ttcwscm,1.299999999999999,4372
4,Greedy,ttc,0.0,666
4,Greedy,ttcwscm,0.0,4429
4,Greedy,ttc,1.0,6758
4,Greedy,ttcwscm,2.299999999999999,60002
4,Greedy,ttc,0.0,651
4,Greedy,ttcwscm,0.0,4201
4,Greedy,ttc,0.0,714
4,Greedy,ttcwscm,1.3249999999999988,59465
4,Greedy,ttc,1.0,17654
4,Greedy,ttcwscm,0.0,60001
4,Greedy,ttc,0.0,17730
4,Greedy,ttcwscm,3.3499999999999988,60020
4,Greedy,ttc,1.0,60002
4,Greedy,ttcwscm,0.0,60000
4,Greedy,ttc,0.0,60002
4,Greedy,ttcwscm,2.3499999999999988,60006
4,Greedy,ttc,1.0,12290
4,Greedy,ttcwscm,0.0,801
4,Greedy,ttc,0.0,275
4,Greedy,ttcwscm,0.0,830
4,Greedy,ttc,0.0,283
4,Greedy,ttcwscm,1.3999999999999988,8452
4,Greedy,ttc,2.0,48274
4,Greedy,ttcwscm,0.0,2611
4,Greedy,ttc,0.0,1045
4,Greedy,ttcwscm,1.424999999999999,30835
4,Greedy,ttc,0.0,15377
4,Greedy,ttcwscm,0.0,31552
4,Greedy,ttc,1.0,32440
4,Greedy,ttcwscm,0.0,481
4,Greedy,ttc,0.0,123
4,Greedy,ttcwscm,1.4499999999999988,9265
4,Greedy,ttc,1.0,60010
4,Greedy,ttcwscm,0.0,60003
4,Greedy,ttc,0.0,60002
4,Greedy,ttcwscm,0.0,60002
4,Greedy,ttc,3.0,60112
4,Greedy,ttcwscm,4.450000000000005,60066
4,Greedy,ttc,0.0,60000
4,Greedy,ttcwscm,0.0,60001
