gameID,optimisationTechnique,objectiveFunction,score,computationTime
1,Greedy,ttc,0.0,24
1,Greedy,ttv,24.0,11
1,Greedy,ttc,0.0,5
1,Greedy,ttv,0.0,3
1,Greedy,ttc,0.0,4
1,Greedy,ttv,10.0,35
1,Greedy,ttc,5.0,184
1,Greedy,ttv,21.0,87
1,Greedy,ttc,1.0,82
1,Greedy,ttv,0.0,181
1,Greedy,ttc,0.0,46
1,Greedy,ttv,0.0,119
1,Greedy,ttc,0.0,58
1,Greedy,ttv,0.0,129
1,Greedy,ttc,0.0,51
1,Greedy,ttv,0.0,356
1,Greedy,ttc,0.0,232
1,Greedy,ttv,33.0,3917
1,Greedy,ttc,2.0,3667
1,Greedy,ttv,26.0,1156
1,Greedy,ttc,2.0,2294
1,Greedy,ttv,24.0,4052
1,Greedy,ttc,1.0,2349
1,Greedy,ttv,0.0,4368
1,Greedy,ttc,0.0,2150
1,Greedy,ttv,22.0,6027
1,Greedy,ttc,0.0,12
1,Greedy,ttv,0.0,21
1,Greedy,ttc,0.0,13
1,Greedy,ttv,0.0,26
1,Greedy,ttc,0.0,13
1,Greedy,ttv,0.0,23
1,Greedy,ttc,3.0,25
1,Greedy,ttv,0.0,26
1,Greedy,ttc,0.0,10
1,Greedy,ttv,45.0,75
1,Greedy,ttc,1.0,39
1,Greedy,ttv,21.0,174
1,Greedy,ttc,0.0,11
1,Greedy,ttv,0.0,2
1,Greedy,ttc,3.0,235
1,Greedy,ttv,33.0,3
1,Greedy,ttc,0.0,2
1,Greedy,ttv,0.0,1
1,Greedy,ttc,1.0,18
1,Greedy,ttv,18.0,40
1,Greedy,ttc,0.0,1
1,Greedy,ttv,0.0,1
1,Greedy,ttc,0.0,1
1,Greedy,ttv,12.0,14
1,Greedy,ttc,1.0,5
1,Greedy,ttv,0.0,3
1,Greedy,ttc,0.0,5
1,Greedy,ttv,0.0,11
1,Greedy,ttc,3.0,46
1,Greedy,ttv,33.0,347
1,Greedy,ttc,0.0,4
1,Greedy,ttv,0.0,3
1,Greedy,ttc,2.0,2956
1,Greedy,ttv,0.0,1
1,Greedy,ttc,0.0,1
1,Greedy,ttv,12.0,5
1,Greedy,ttc,1.0,646
1,Greedy,ttv,0.0,1411
1,Greedy,ttc,0.0,625
1,Greedy,ttv,15.0,3234
1,Greedy,ttc,3.0,1
1,Greedy,ttv,0.0,0
1,Greedy,ttc,0.0,1
1,Greedy,ttv,0.0,1
1,Greedy,ttc,0.0,0
1,Greedy,ttv,12.0,3
1,Greedy,ttc,1.0,512
1,Greedy,ttv,0.0,517
1,Greedy,ttc,0.0,468
1,Greedy,ttv,23.0,9028
1,Greedy,ttc,4.0,60112
1,Greedy,ttv,0.0,100
1,Greedy,ttc,0.0,82
1,Greedy,ttv,10.0,10399
1,Greedy,ttc,0.0,10040
1,Greedy,ttv,0.0,10244
1,Greedy,ttc,0.0,20144
1,Greedy,ttv,11.0,60092
1,Greedy,ttc,3.0,60047
1,Greedy,ttv,10.0,8903
1,Greedy,ttc,0.0,18465
1,Greedy,ttv,0.0,8733
1,Greedy,ttc,3.0,60015
1,Greedy,ttv,2.0,37292
1,Greedy,ttc,0.0,35382
1,Greedy,ttv,0.0,40177
1,Greedy,ttc,1.0,60004
1,Greedy,ttv,7.0,60039
1,Greedy,ttc,0.0,60003
1,Greedy,ttv,0.0,60003
1,Greedy,ttc,2.0,60005
2,Greedy,ttc,10.0,187
