optimisationTechnique,score,computationTime,efficiency
AlphaBeta,1630.719993028959,3586.475483204643,0.4546859446455362
Greedy,1597.8121703453603,5615.772619223266,0.28452223383758696
ILP,1046.8505081300814,56.91262151838555,18.393995570769793
